year	location	visits
1990	13472	1
1990	14343	1
1990	14344	1
1990	14404	1
1990	14494	1
1990	14502	1
1990	14548	1
1990	14549	4
1990	14612	2
1990	14668	1
1990	14752	1
1990	14808	1
1990	14975	1
1990	15236	1
1990	15278	1
1990	15710	1
1990	15970	1
1990	16046	1
1990	16279	1
1990	16858	1
1990	17170	1
1990	17274	1
1990	17339	1
1990	17348	1
1990	17349	2
1990	17422	1
1990	17555	1
1990	17593	1
1990	17728	1
1990	17784	1
1990	17812	1
1990	17948	1
1990	17977	1
1990	18118	1
1990	18449	1
1990	18465	1
1990	18476	1
1990	18531	2
1990	19082	1
1990	19103	1
1990	19139	1
1990	19145	1
1990	19199	1
1990	19203	1
1990	19247	1
1990	19405	1
1990	19407	1
1990	19461	1
1990	19756	10
1990	19764	1
1990	19830	4
1990	19912	2
1990	20128	1
1990	20178	1
1990	20188	1
1990	20232	1
1990	20237	2
1990	20238	1
1990	20516	1
1990	20801	1
1990	20970	1
1990	20992	1
1990	21027	1
1990	21184	1
1990	21231	1
1990	21344	1
1990	21479	2
1990	21529	1
1990	21618	1
1990	21619	1
1990	21670	1
1990	21671	1
1990	21761	1
1990	21784	1
1990	22083	1
1990	22735	1
1990	22791	1
1990	22821	1
1990	23402	1
1990	23471	1
1990	23513	1
1990	23949	1
1990	24510	1
1990	24570	1
1990	24683	1
1990	24825	1
1990	25476	1
1990	25682	1
1990	25684	1
1990	25931	1
1990	26033	1
1990	26211	4
1990	26221	1
1990	26234	1
1990	26324	1
1990	26618	1
1990	26662	1
1990	26735	1
1990	177	1
1990	562	1
1990	564	1
1990	588	1
1990	636	1
1990	648	3
1990	676	2
1990	678	2
1990	686	1
1990	689	1
1990	696	1
1990	707	1
1990	711	1
1990	715	3
1990	726	5
1990	738	3
1990	740	1
1990	748	1
1990	840	2
1990	857	1
1990	867	1
1990	926	3
1990	934	1
1990	944	1
1990	958	1
1990	980	2
1990	1021	2
1990	1128	6
1990	1133	1
1990	1134	2
1990	1514	2
1990	1593	1
1990	1838	1
1990	1874	4
1990	1989	1
1990	2167	1
1990	2321	2
1990	2604	1
1990	2649	1
1990	2962	1
1990	3820	2
1990	3895	4
1990	3926	1
1990	4208	2
1990	4210	3
1990	4216	1
1990	4313	1
1990	4370	1
1990	4423	1
1990	4461	1
1990	4510	3
1990	4582	2
1990	4690	5
1990	4737	3
1990	4750	5
1990	4800	1
1990	4866	6
1990	4936	2
